[2026-04-20T03:49:36Z] [INFO] [SYSTEM] [EVT_1776656976_00e5c8cc] Logger initialized
[2026-04-20T03:49:36Z] [INFO] [SYSTEM] [EVT_1776656976_3c6cb5ca] Server started
[2026-04-20T03:49:44Z] [INFO] [SYSTEM] [EVT_1776656984_5e8352db] Dashboard accessed | IP: ::1
[2026-04-20T03:49:44Z] [INFO] [SYSTEM] [EVT_1776656984_16b2cb3d] GET / 200 25.1947ms 47470B | IP: ::1
[2026-04-20T03:49:44Z] [INFO] [SYSTEM] [EVT_1776656984_191f4b39] GET /api/v1/stats 200 1.6859ms 617B | IP: ::1
[2026-04-20T03:49:44Z] [INFO] [SYSTEM] [EVT_1776656984_86d5581c] GET /api/v1/queue/stats 200 0s 358B | IP: ::1
[2026-04-20T03:49:44Z] [INFO] [SYSTEM] [EVT_1776656984_17bcbe5e] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T03:49:44Z] [WARN] [AUDIT] [EVT_1776656984_b609f7e3] GET /favicon.ico 404 0s -1B | IP: ::1
[2026-04-20T03:49:55Z] [INFO] [SYSTEM] [EVT_1776656995_fef51aff] GET /api/v1/stats 200 379.5µs 636B | IP: ::1
[2026-04-20T03:49:55Z] [INFO] [SYSTEM] [EVT_1776656995_6cdde314] GET /api/v1/queue/stats 200 0s 358B | IP: ::1
[2026-04-20T03:50:00Z] [INFO] [SYSTEM] [EVT_1776657000_a3c8c5be] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T03:50:05Z] [INFO] [SYSTEM] [EVT_1776657005_d28a21d1] GET /api/v1/stats 200 0s 640B | IP: ::1
[2026-04-20T03:50:05Z] [INFO] [SYSTEM] [EVT_1776657005_9f3b3011] GET /api/v1/queue/stats 200 0s 358B | IP: ::1
[2026-04-20T03:50:15Z] [INFO] [SYSTEM] [EVT_1776657015_da329915] GET /api/v1/stats 200 0s 640B | IP: ::1
[2026-04-20T03:50:15Z] [INFO] [SYSTEM] [EVT_1776657015_748aea6b] GET /api/v1/queue/stats 200 523.9µs 358B | IP: ::1
[2026-04-20T03:50:15Z] [INFO] [SYSTEM] [EVT_1776657015_605ee892] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T03:50:25Z] [INFO] [SYSTEM] [EVT_1776657025_4698d856] GET /api/v1/stats 200 0s 639B | IP: ::1
[2026-04-20T03:50:25Z] [INFO] [SYSTEM] [EVT_1776657025_e41138ec] GET /api/v1/queue/stats 200 637.7µs 358B | IP: ::1
[2026-04-20T03:50:30Z] [INFO] [SYSTEM] [EVT_1776657030_78b1aa81] GET /api/v1/agents 200 623.8µs 49B | IP: ::1
[2026-04-20T03:50:35Z] [INFO] [SYSTEM] [EVT_1776657035_25ec4362] GET /api/v1/stats 200 0s 640B | IP: ::1
[2026-04-20T03:50:35Z] [INFO] [SYSTEM] [EVT_1776657035_d0ac0f2a] GET /api/v1/queue/stats 200 1.8601ms 358B | IP: ::1
[2026-04-20T03:50:45Z] [INFO] [SYSTEM] [EVT_1776657045_6c3adbba] GET /api/v1/stats 200 0s 641B | IP: ::1
[2026-04-20T03:50:45Z] [INFO] [SYSTEM] [EVT_1776657045_f2095ad0] GET /api/v1/queue/stats 200 0s 358B | IP: ::1
[2026-04-20T03:50:45Z] [INFO] [SYSTEM] [EVT_1776657045_99652da8] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T03:51:00Z] [INFO] [SYSTEM] [EVT_1776657060_80f7a32e] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T03:51:13Z] [INFO] [SYSTEM] [EVT_1776657073_61232387] GET /api/v1/stats 200 0s 642B | IP: ::1
[2026-04-20T03:51:13Z] [INFO] [SYSTEM] [EVT_1776657073_74cc1cb3] GET /api/v1/queue/stats 200 0s 358B | IP: ::1
[2026-04-20T03:51:15Z] [INFO] [SYSTEM] [EVT_1776657075_214c93cc] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T03:52:13Z] [INFO] [SYSTEM] [EVT_1776657133_6e28da3a] GET /api/v1/stats 200 0s 642B | IP: ::1
[2026-04-20T03:52:13Z] [INFO] [SYSTEM] [EVT_1776657133_411ce1b2] GET /api/v1/queue/stats 200 0s 358B | IP: ::1
[2026-04-20T03:52:13Z] [INFO] [SYSTEM] [EVT_1776657133_8204eb76] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T03:53:13Z] [INFO] [SYSTEM] [EVT_1776657193_26d9fc1b] GET /api/v1/stats 200 1.1701ms 642B | IP: ::1
[2026-04-20T03:53:13Z] [INFO] [SYSTEM] [EVT_1776657193_964fc2de] GET /api/v1/queue/stats 200 0s 358B | IP: ::1
[2026-04-20T03:53:13Z] [INFO] [SYSTEM] [EVT_1776657193_568a9e85] GET /api/v1/agents 200 1.2772ms 49B | IP: ::1
[2026-04-20T03:54:13Z] [INFO] [SYSTEM] [EVT_1776657253_9d6da898] GET /api/v1/queue/stats 200 0s 358B | IP: ::1
[2026-04-20T03:54:13Z] [INFO] [SYSTEM] [EVT_1776657253_bb7e46ca] GET /api/v1/stats 200 3.8974ms 642B | IP: ::1
[2026-04-20T03:54:13Z] [INFO] [SYSTEM] [EVT_1776657253_3ee408e0] GET /api/v1/agents 200 510.9µs 49B | IP: ::1
[2026-04-20T03:55:13Z] [INFO] [SYSTEM] [EVT_1776657313_a1861140] GET /api/v1/stats 200 0s 641B | IP: ::1
[2026-04-20T03:55:13Z] [INFO] [SYSTEM] [EVT_1776657313_70c41261] GET /api/v1/queue/stats 200 0s 358B | IP: ::1
[2026-04-20T03:55:13Z] [INFO] [SYSTEM] [EVT_1776657313_c11e050c] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T03:56:13Z] [INFO] [SYSTEM] [EVT_1776657373_b1907e0e] GET /api/v1/stats 200 0s 642B | IP: ::1
[2026-04-20T03:56:13Z] [INFO] [SYSTEM] [EVT_1776657373_d897f05e] GET /api/v1/queue/stats 200 0s 358B | IP: ::1
[2026-04-20T03:56:13Z] [INFO] [SYSTEM] [EVT_1776657373_fa0e76c9] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T03:57:13Z] [INFO] [SYSTEM] [EVT_1776657433_c84a95de] GET /api/v1/stats 200 0s 642B | IP: ::1
[2026-04-20T03:57:13Z] [INFO] [SYSTEM] [EVT_1776657433_98c1f6b1] GET /api/v1/queue/stats 200 0s 358B | IP: ::1
[2026-04-20T03:57:13Z] [INFO] [SYSTEM] [EVT_1776657433_2faa610d] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T03:58:13Z] [INFO] [SYSTEM] [EVT_1776657493_2bf6c482] GET /api/v1/stats 200 2.0205ms 641B | IP: ::1
[2026-04-20T03:58:13Z] [INFO] [SYSTEM] [EVT_1776657493_541517a9] GET /api/v1/queue/stats 200 536.4µs 358B | IP: ::1
[2026-04-20T03:58:13Z] [INFO] [SYSTEM] [EVT_1776657493_1ffc5f17] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T03:59:13Z] [INFO] [SYSTEM] [EVT_1776657553_0736730a] GET /api/v1/stats 200 5.8955ms 642B | IP: ::1
[2026-04-20T03:59:13Z] [INFO] [SYSTEM] [EVT_1776657553_8f1152bf] GET /api/v1/queue/stats 200 1.7161ms 358B | IP: ::1
[2026-04-20T03:59:13Z] [INFO] [SYSTEM] [EVT_1776657553_8852c408] GET /api/v1/agents 200 520.5µs 49B | IP: ::1
[2026-04-20T04:00:13Z] [INFO] [SYSTEM] [EVT_1776657613_bac2bde9] GET /api/v1/stats 200 0s 643B | IP: ::1
[2026-04-20T04:00:13Z] [INFO] [SYSTEM] [EVT_1776657613_88ff9d9c] GET /api/v1/queue/stats 200 0s 358B | IP: ::1
[2026-04-20T04:00:13Z] [INFO] [SYSTEM] [EVT_1776657613_1689e7c7] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T04:01:13Z] [INFO] [SYSTEM] [EVT_1776657673_53ce640e] GET /api/v1/stats 200 508.3µs 643B | IP: ::1
[2026-04-20T04:01:13Z] [INFO] [SYSTEM] [EVT_1776657673_8f58df6d] GET /api/v1/queue/stats 200 0s 358B | IP: ::1
